eq;parm;estimate;stderr;z;p;min95;max95
HasnijverheidGrowth;dist_airport_km_2019;.0011770394906274;.0002356666000408;4.994511273229538;5.89849462733e-07;.0007151414421884;.0016389375390663
HasnijverheidGrowth;dist_highway_km_2018;-.0919011563406641;.0043499616042466;-21.12688908585899;4.50251906428e-99;-.1004269244191196;-.0833753882622086
HasnijverheidGrowth;dist_seaport_km_2019;.0016081034863307;.0001780474904128;9.031879542937798;1.68748113839e-19;.0012591368175839;.0019570701550776
HasnijverheidGrowth;dist_train_km_2019;.0077127528575586;.0013145205276554;5.86735063872713;4.42813591727e-09;.0051363399664155;.0102891657487017
HasnijverheidGrowth;dist_urbancontour_km_2000;-.9621590809502228;.0131558097213734;-73.13567931794164;0;-.9879439941915766;-.9363741677088691
HasnijverheidGrowth;ln_tt_100kinhab_min_2017;-.674987827538965;.0202013213053678;-33.41305340060161;8.8608907669e-245;-.7145816897376076;-.6353939653403224
HasnijverheidGrowth;uai_2018;-1.212477025858635;.3828054567595289;-3.167345199627836;.0015383758823249;-1.962761934192716;-.4621921175245535
HasnijverheidGrowth;landprice_2007;-.0001011930892195;.0000432988576808;-2.337084501525122;.0194347907185472;-.0001860572908456;-.0000163288875934
HasnijverheidGrowth;vinex;-.9490179872360269;.0852807382649028;-11.12816336425401;9.15013799476e-29;-1.116165162810223;-.7818708116618305
HasnijverheidGrowth;natura2000;-1.639991195423593;.1060540358699093;-15.46373206801183;6.09618084440e-54;-1.847853286143734;-1.432129104703451
HasnijverheidGrowth;bundelingsgebieden;-.1037797592286043;.0174055156949717;-5.962463913584901;2.48462535147e-09;-.1378939431230955;-.0696655753341132
HasnijverheidGrowth;bufferzones_2005;-.0645366075676043;.0078610433121261;-8.209674594726247;2.21788743883e-16;-.0799439693402809;-.0491292457949277
HasnijverheidGrowth;ehs_1990;-.910032146218178;.0415982308256013;-21.87670312310751;4.3303907632e-106;-.9915631804569403;-.8285011119794157
HasnijverheidGrowth;o.groenehart_2004;0;0;;;0;0
HasnijverheidGrowth;lu_share_agriculture_2000;-.7661566778066838;.2860049071755758;-2.678823539682651;.0073881317650774;-1.326715995272533;-.2055973603408342
HasnijverheidGrowth;lu_share_construction_2000;1.0706988017687;.2887251531807942;3.708366901785828;.0002086002577532;.5048079001035337;1.636589703433867
HasnijverheidGrowth;lu_share_infrastructure_2000;-1.245975344781213;.291294061418877;-4.277379836417318;.0000189105976949;-1.81690121407261;-.6750494754898152
HasnijverheidGrowth;lu_share_nature_2000;-2.714372351595936;.2958537133848767;-9.174711111585083;4.52786889335e-20;-3.29423497452273;-2.134509728669142
HasnijverheidGrowth;lu_share_otherbuiltup_2000;1.697839882381821;.2863014245010014;5.930253002900735;3.02468258631e-09;1.136699401637346;2.258980363126297
HasnijverheidGrowth;lu_share_residential_2000;-1.43572515074774;.2868195929585959;-5.00567320362593;5.56671313119e-07;-1.997881223007026;-.8735690784884542
HasnijverheidGrowth;lu_share_urbangreen_2000;-2.419989712087354;.293007622375153;-8.259135692343573;1.46731049491e-16;-2.994274099138367;-1.845705325036342
HasnijverheidGrowth;lu_share_water_2000;-2.828628981033118;.2944071179651409;-9.607882447217326;7.40562756493e-22;-3.405656329037029;-2.251601633029206
HasnijverheidGrowth;lu_simpson_diversity_index_2000;-96.69487773726276;3.497112283989314;-27.64992081608502;2.7969151417e-168;-103.5490918637744;-89.84066361075109
HasnijverheidGrowth;_cons;.054814088234771;.2978592168449613;.1840268325935413;.8539924050285305;-.5289792492446592;.6386074257142011
