eq;parm;estimate;stderr;z;p;min95;max95
Haszak_dienstverleningGrowth;dist_airport_km_2019;.0041455634761046;.0004521894688016;9.167757681511167;4.82960198751e-20;.0032592884030651;.0050318385491441
Haszak_dienstverleningGrowth;dist_highway_km_2018;-.0637481270632061;.0087152270238577;-7.314568729959364;2.58209322401e-13;-.0808296581470573;-.0466665959793548
Haszak_dienstverleningGrowth;dist_seaport_km_2019;.0021865522575184;.0003365663530889;6.496645423557092;8.21307239669e-11;.0015268943270561;.0028462101879807
Haszak_dienstverleningGrowth;dist_train_km_2019;-.0149113826440928;.0030999116691486;-4.810260496289683;1.50733720386e-06;-.0209870978708795;-.0088356674173062
Haszak_dienstverleningGrowth;dist_urbancontour_km_2000;-.5689515527419249;.0262833806459078;-21.64681782784698;6.5124517848e-104;-.6204660321998612;-.5174370732839886
Haszak_dienstverleningGrowth;ln_tt_100kinhab_min_2017;-1.022252026220904;.0382601578089039;-26.7184477211698;2.8736808890e-157;-1.097240557569175;-.9472634948726338
Haszak_dienstverleningGrowth;uai_2018;7.874093307628176;.3248374391179089;24.24010400097401;8.4085293428e-130;7.237423626126851;8.5107629891295
Haszak_dienstverleningGrowth;landprice_2007;.0004547213804637;.0000410362108117;11.08097876166299;1.55166955432e-28;.0003742918852107;.0005351508757166
Haszak_dienstverleningGrowth;vinex;-.1167507919117255;.1120907898993586;-1.041573460375745;.2976094784927151;-.3364447031131144;.1029431192896633
Haszak_dienstverleningGrowth;natura2000;-.9781331660854958;.165167005240566;-5.922085737770949;3.17883806830e-09;-1.301854547791343;-.6544117843796481
Haszak_dienstverleningGrowth;bundelingsgebieden;-.1477538290115225;.0323231145295931;-4.571150743417628;4.85053185789e-06;-.2111059693576882;-.0844016886653568
Haszak_dienstverleningGrowth;bufferzones_2005;-.0841058807547397;.0180002778649585;-4.672476802064838;2.97589136931e-06;-.1193857770817719;-.0488259844277075
Haszak_dienstverleningGrowth;ehs_1990;-.6989775484106961;.0888968312805679;-7.862794863909697;3.75655936633e-15;-.8732121360603429;-.5247429607610494
Haszak_dienstverleningGrowth;o.groenehart_2004;0;0;;;0;0
Haszak_dienstverleningGrowth;lu_share_agriculture_2000;-2.640669024906891;.4267588847171476;-6.187730635431539;6.10365082020e-10;-3.477101069034981;-1.804236980778801
Haszak_dienstverleningGrowth;lu_share_construction_2000;-.1417828821093987;.4352054990154526;-.3257837560190491;.7445879696530378;-.9947699860534676;.7112042218346701
Haszak_dienstverleningGrowth;lu_share_infrastructure_2000;-.8928771983014669;.4340848347295708;-2.056918663969724;.0396940503453715;-1.743667840606447;-.0420865559964868
Haszak_dienstverleningGrowth;lu_share_nature_2000;-3.574041029545287;.4503159388990819;-7.936741120651844;2.07562646647e-15;-4.456644051451827;-2.691438007638747
Haszak_dienstverleningGrowth;lu_share_otherbuiltup_2000;.866036776914871;.4270198173611054;2.028095047828928;.0425505482508035;.0290933142022329;1.702980239627509
Haszak_dienstverleningGrowth;lu_share_residential_2000;-1.231197118544477;.4273603951710496;-2.880934060470659;.0039649858166243;-2.068808101498539;-.3935861355904148
Haszak_dienstverleningGrowth;lu_share_urbangreen_2000;-2.161310321269846;.4339172779783801;-4.980927082091285;6.32803824024e-07;-3.011772558377126;-1.310848084162566
Haszak_dienstverleningGrowth;lu_share_water_2000;-3.532444249917175;.4448899236117842;-7.940041035857725;2.02114375130e-15;-4.404412477281047;-2.660476022553302
Haszak_dienstverleningGrowth;lu_simpson_diversity_index_2000;-133.1501197034455;5.832676887495523;-22.82830375687388;2.4009324736e-115;-144.5819563363959;-121.7182830704951
Haszak_dienstverleningGrowth;_cons;.5848283431066816;.4525505384020891;1.292293994769407;.1962553508425119;-.3021544133456235;1.471811099558987
